file_id,department,file_type,priority,submission_date,complexity_score,num_pages,required_approvals,assigned_officer_id,officer_experience_years,current_backlog_officer,routing_path,sla_days,processing_time_hours,delayed,delay_ratio,processing_time_days
c8d67756-e2d5-428a-a610-4ae6f2c46595,Health,report,Medium,2025-03-22 14:22:58.570081,0.249,12,1,OFF002,4.5,2,Clerk->Officer,7,11.24,False,0.067,0.468
c06c891b-ae1e-49f4-ac78-f6f184da15f9,Revenue,report,Low,2024-12-14 14:22:58.570081,0.191,6,3,OFF089,1.8,4,Clerk->Officer->SectionHead->Finance,10,21.81,False,0.091,0.909
e4fe8c69-d7b7-43ba-8ea7-871100cb32cc,Transport,appeal,Low,2025-03-01 14:22:58.570081,0.085,8,1,OFF190,3.3,5,Clerk->Officer,21,1.0,False,0.002,0.042
3f4803ae-8167-4f4d-a4c1-d2aba4e6c33d,Revenue,report,Medium,2024-12-29 14:22:58.570081,0.234,10,1,OFF041,1.2,11,Clerk->Officer,7,10.6,True,0.063,0.442
65bff6b3-fb6a-4f72-b3d7-57532712a704,Welfare,application,Low,2024-12-30 14:22:58.570081,0.184,7,1,OFF013,0.9,8,Clerk->Officer,7,11.84,False,0.07,0.493
8b7ac234-02f4-4ac6-8c40-225361b19d7c,Welfare,application,Low,2025-01-03 14:22:58.570081,0.379,9,2,OFF051,1.2,5,Clerk->Officer->SectionHead,7,11.56,False,0.069,0.482
7754ee71-9b2f-413b-b949-e0128578f230,Education,appeal,Low,2026-12-04 14:22:58.570081,0.205,8,2,OFF183,6.9,8,Clerk->Officer->SectionHead,21,5.64,True,0.011,0.235
750a7f09-0398-4b17-986f-dc0611853aa7,Education,appeal,Low,2025-02-27 14:22:58.570081,0.276,9,2,OFF185,2.3,10,Clerk->Officer->SectionHead,21,25.92,False,0.051,1.08
920d7310-a992-468c-9fbc-55c6c1ddc250,Welfare,report,Medium,2025-04-05 14:22:58.570081,0.227,7,2,OFF161,0.6,3,Clerk->Officer->SectionHead,7,27.19,False,0.162,1.133
af531cce-8edf-4d3c-a23a-e1f718d517cf,Education,permit,Medium,2025-01-06 14:22:58.570081,0.411,10,1,OFF097,2.5,5,Clerk->Officer,10,43.42,False,0.181,1.809
