feature,importance_mean,importance_std
required_approvals,0.5046133728068214,0.014363649407968469
routing_path,0.10439454672539601,0.007559711159315865
priority,0.03157537121613028,0.0038846736639399264
complexity_score,0.02327593264925191,0.00445737946247997
num_pages,0.0190773553859494,0.0032688063308453676
department,0.012448076416767383,0.0027734831073257587
current_backlog_officer,0.0021282838482568067,0.0028562054086687418
file_type,0.0007337523093032927,0.00186198618015953
assigned_officer_id,-0.0010814144463723752,0.0020164510041790515
officer_experience_years,-0.0010941143834153344,0.0035527996561717876
sla_days,-0.0019186204163307186,0.001276177809033069
